Title (),,,,,,,,
Freshman Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sophomore Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Junior Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Senior Year,,,,,,,,
Fall Semester,,Cr.,Spring Semester,,Cr.,Summer Semester,,Cr.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Total Minimum Credits = CR,,,,,,,,
UCC Title Text ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Title (),,,,,,,,
Seminar I,,,,,,,,
Seminar II,,,,,,,,
Gen Ed core requirements,,,,,,,,
Writing proficiency requirements,,,,,,,,
0,Freshman Year Total,,,,Complete,,,
0,Sophomore Year Total,,,,In Progress,,,
0,Junior Year Year Total,,,,Incomplete,,,
0,Senior Year Total,,,,Percentage To Grad,,,
Total,,,,,Total,,,
 ,,,,,,,,
What and Why WPE?,,,,,,,,
Explain text,,,,,,,,
,,,,,,,,
When WPE?,,,,,,,,
Explain text,,,,,,,,
,,,,,,,,
,,,,,,,,
FLog,,,,,CBL,,,
UMaL,,,,,EIL,,,
